NaiveExpansion,OnlyForcedExpansionsNoLC,Test,FlashExtract,MaxExampleCount,NaiveExpansionNoLC,FlashFill,OnlyForcedExpansions,SpecsVisited,ExpansionsForcedNoLensContext,ExpansionsPerformed,LensSizeNoLensContext,SpecsVisitedOnlyForcedExpansions,ExpansionsInferredNoLensContext,SpecsVisitedNoLensContext,NoUDTypes,LensSize,ExpansionsInferred,ExamplesRequired,ExpansionsForced,SpecsVisitedNaiveExpansion,SpecSize,NoLensContext,NaiveStrategy,FlashFillExsTaken,ComputationTime,ExpansionsPerformedNoLensContext,FlashExtractExsTaken,CompositionalLensesUsed
338,116,aug/cgconfig,-1,32,-1,-1,17,2,75,2,205,2,75,2,-1,59,2,0.0,2,13,415,105,-1,10,18,75,11,0
-1,23,aug/backuppchosts,-1,1,-1,-1,19,2,8,8,43,2,8,2,-1,43,8,0.0,8,-1,272,23,-1,10,19,8,1,1
-1,14,cust/bib-prob,1921,16,-1,-1,16,3,26,3,72,3,27,6,-1,58,3,0.0,2,-1,202,20,-1,6246,16,27,17,1
26,9,ff/extr-fname-err,-1,6,23,-1,9,6,2,4,23,49,4,6,132177,23,4,5.0,2,216,143,6,-1,15,7,4,2,0
3,7,cust/cap-prob,634,27,12,1152,3,2,4,2,54,2,4,2,38,56,2,0.0,2,7,112,6,-1,10,3,4,1,0
274,35,aug/approx,-1,3,-1,-1,10,2,8,5,21,2,10,4,5526,23,5,0.0,5,2563,277,20,-1,15,10,10,92,0
-1,36279,aug/channels,-1,56,-1,-1,54,2,16,6,210,2,17,93,-1,127,6,1.0,6,-1,512,2125,-1,10,47,18,2,0
4,4,ff/extr-num,-1,4,4,-1,4,2,2,2,13,2,2,2,-1,13,2,0.0,2,5,171,4,-1,10,4,2,4,0
-1,19328,aug/xml-l1,-1,30,-1,-1,7282,74,15,19,64,9556,18,74,-1,64,18,0.0,15,-1,235,47,-1,15,80,19,11,3
-1,160,aug/cron,-1,3,-1,-1,137,2,19,14,135,2,19,2,-1,138,14,0.0,14,-1,475,218,-1,9369,194,19,61,0
-1,61,aug/auth-keys,-1,31,-1,-1,17,2,15,10,163,2,16,6,-1,155,10,0.0,10,-1,354,46,-1,10,17,16,11,0
661,17,aug/aptcrngsec,-1,3,-1,-1,10,2,10,5,27,2,10,2,-1,27,5,0.0,5,3615,265,17,-1,49,11,10,2,0
-1,100,aug/aptconf-l1,-1,8,-1,-1,25,2,25,11,77,2,25,40,-1,70,11,0.0,11,-1,540,138,-1,10,27,26,26,2
3,3,cust/date-probs,801,3,3,3410,3,1,0,0,5,1,0,1,-1,5,0,0.0,0,1,85,3,-1,10,3,0,1,2
1925,62500,aug/automounter,-1,52,-1,-1,165,2,34,2,272,2,35,65,-1,72,2,0.0,2,12,535,3618,-1,10,150,36,11,0
-1,838,cust/workitem-probs,-1,46,-1,-1,832,1151,16,19,107,1886,17,1151,-1,107,17,22.0,16,-1,221,426,-1,10,439,19,26,2
498278,36,aug/aptsources,-1,1,-1,-1,32,2,6,6,70,2,6,2,-1,70,6,0.0,6,512518,278,37,-1,10,34,6,4,2
49745,-1,aug/carbon,-1,316,-1,-1,113,3,31,3,192,3,33,18581,-1,26,3,0.0,2,29,325,299578,-1,22,112,35,2,0
-1,109,aug/aptconf,-1,8,-1,-1,19,2,25,11,77,2,25,40,-1,70,11,0.0,11,-1,540,120,-1,10,15,26,26,2
295,44,aug/access,-1,13,-1,-1,30,2,19,2,49,2,19,2,-1,29,2,0.0,2,7,335,39,-1,15,27,19,139,2
302,14,ff/extr-fname,-1,12,297,-1,16,34,3,5,45,51,3,34,-1,45,3,9.0,3,1411,149,14,-1,10,16,5,7,2
-1,4950,aug/anacron,-1,3,-1,-1,25,3,13,11,59,8,16,36,-1,57,11,0.0,10,-1,342,55,-1,15,22,16,709,1
30,18,aug/cachefilesd,-1,3,-1,-1,10,2,9,4,27,2,9,2,-1,29,4,0.0,4,252,294,18,-1,49,10,9,1064,0
58,2069,cust/2-cap-prob,-1,106,-1,1962,3,2,14,6,211,2,14,2,2078,66,6,0.0,6,816,122,2075,-1,10,3,14,1,2
-1,17496,aug/aptprefs,-1,16,-1,-1,26,2,26,20,60,2,30,159,6329,67,20,0.0,20,-1,297,180,-1,49,22,30,17,4
-1,22,aug/apt-upd-mgr,-1,4,-1,-1,12,2,16,8,35,2,16,2,19108,36,8,0.0,8,-1,278,22,-1,49,12,16,139,4
-1,21,aug/bootconf,-1,33,-1,-1,17,2,15,15,104,2,15,2,-1,104,15,0.0,15,-1,350,22,-1,10,17,15,7,2
23,22,aug/activemq,977,3,-1,-1,16,2,2,2,9,2,2,2,-1,9,2,0.0,2,6,194,22,-1,73,16,2,1,4
-1,-1,aug/xml,-1,700,-1,-1,122068,122,-1,19,-1,35606,-1,-1,-1,168,18,0.0,15,-1,311,-1,-1,10,1089,-1,1,0
317,20,aug/afs-cellalias,-1,3,-1,-1,10,2,10,5,29,2,10,2,-1,26,5,0.0,5,2349,298,21,-1,823,12,10,139,1
34,25,aug/cgrules,-1,20,-1,-1,11,2,10,2,62,2,10,2,-1,63,2,0.0,2,7,378,26,-1,49,12,10,17,3
-1,115,aug/automaster,-1,9,-1,-1,49,2,17,8,224,2,17,2,-1,98,8,0.0,8,-1,475,113,-1,49,50,17,709,3
-1,218,cust/addr-probs,-1,10,-1,-1,227,11,5,7,56,423,7,14,-1,56,7,1.0,5,-1,244,16,-1,10,14,7,1,3
