NaivePQueue,SpecSize,NoLensContext,ForceExpandTime,ComputationTime,ExamplesRequired,NaiveStrategy,Test,MaxExampleCount,NoShortCircuit
$<10$,85,$<10$,$<10$,$<10$,0.0,Timeout,cust/date-probs,3,$<10$
$<10$,112,$<10$,$<10$,$<10$,0.0,Timeout,cust/cap-prob,2,$<10$
2160,122,2160,2150,2160,0.0,Timeout,cust/2-cap-prob,2703,2160
$<10$,143,$<10$,180,$<10$,26.0,Timeout,ff/extr-fname,6,$<10$
$<10$,150,$<10$,40,$<10$,0.0,Timeout,ff/extr-quant,3,$<10$
$<10$,171,$<10$,30,$<10$,0.0,Timeout,ff/extr-num,4,$<10$
$<10$,201,$<10$,480,$<10$,0.0,Timeout,aug/activemq,3,$<10$
$<10$,208,10,980,$<10$,0.0,Timeout,cust/bib-prob,16,$<10$
$<10$,233,$<10$,250,$<10$,0.0,Timeout,aug/aptcrngsec,3,$<10$
50,235,20,860,20,0.0,Timeout,aug/xml-l1,30,20
$<10$,239,$<10$,250,$<10$,0.0,Timeout,aug/alias,3,$<10$
70,244,20,80,20,2.0,Timeout,cust/addr-probs,10,20
$<10$,246,10,180,$<10$,0.0,Timeout,aug/apt-upd-mgr,4,$<10$
$<10$,252,$<10$,270,$<10$,0.0,Timeout,aug/approx,3,$<10$
20,269,70,Timeout,20,0.0,Timeout,aug/aptprefs,17,20
$<10$,273,$<10$,370,$<10$,0.0,Timeout,aug/afs-cellalias,3,$<10$
20,285,20,580,20,0.0,Timeout,aug/aptsources,1,20
10,303,10,690,10,0.0,Timeout,aug/access,13,10
Timeout,311,Timeout,Timeout,470,0.0,Timeout,aug/xml,700,470
10,317,30,Timeout,10,0.0,Timeout,aug/anacron,3,10
$<10$,318,20,2210,$<10$,0.0,Timeout,aug/hosts,15,$<10$
10,322,20,750,10,0.0,Timeout,aug/auth-keys,31,10
10,383,310,Timeout,10,0.0,Timeout,aug/aptconf,6,10
10,383,520,Timeout,10,0.0,Timeout,aug/aptconf-l1,6,10
110,443,120,1210,110,0.0,Timeout,aug/cron,3,120
