SpecSize,NoLensContext,NaiveStrategy,ComputationTime,ExamplesRequired,Test,MaxExampleCount,NoShortCircuit,NoInferenceNoLC,,,,,,,,,,
85,$<10$,Timeout,$<10$,0,cust/date-probs,3,$<10$,$<10$,,,,,,,,,,
112,$<10$,Timeout,$<10$,0,cust/cap-prob,2,$<10$,10,,,,,,,,,,
122,2110,Timeout,2190,0,cust/2-cap-prob,2703,2150,Timeout,,,,,,,,,,
143,20,Timeout,20,13,ff/extr-fname-err,13,$<10$,290,,,,,,,,,,
149,10,Timeout,10,2,ff/extr-fname,12,10,16500,,,,,,,,,,
150,$<10$,Timeout,$<10$,0,ff/extr-quant,3,$<10$,$<10$,,,,,,,,,,
171,$<10$,Timeout,$<10$,0,ff/extr-num,4,$<10$,$<10$,,,,,,,,,,
201,$<10$,Timeout,10,0,aug/activemq,3,$<10$,10,,,,,,,,,,
208,10,Timeout,$<10$,0,cust/bib-prob,16,$<10$,Timeout,,,,,,,,,,
233,$<10$,Timeout,$<10$,0,aug/aptcrngsec,3,$<10$,4070,,,,,,,,,,
235,30,Timeout,40,0,aug/xml-l1,30,30,Timeout,,,,,,,,,,
239,60,Timeout,$<10$,0,aug/alias,3,40,Timeout,,,,,,,,,,
244,20,Timeout,20,3,cust/addr-probs,10,20,Timeout,,,,,,,,,,
246,10,Timeout,$<10$,0,aug/apt-upd-mgr,4,$<10$,Timeout,,,,,,,,,,
252,$<10$,Timeout,$<10$,0,aug/approx,3,$<10$,3480,,,,,,,,,,
269,320,Timeout,30,0,aug/aptprefs,17,20,Timeout,,,,,,,,,,
273,$<10$,Timeout,$<10$,0,aug/afs-cellalias,3,$<10$,670,,,,,10,0,,,0,0
285,20,Timeout,20,0,aug/aptsources,1,20,Timeout,,,,,0,0,,,10,0
303,20,Timeout,10,0,aug/access,13,10,4760,,,,,10,11,,,10,16
311,Timeout,Timeout,2710,0,aug/xml,700,2770,Timeout,,,,,20,11,,,20,16
317,4450,Timeout,140,0,aug/anacron,3,200,Timeout,,,,,20,16,,,20,20
318,50,Timeout,$<10$,0,aug/hosts,15,$<10$,2620,,,,,30,16,,,30,20
322,20,Timeout,10,0,aug/auth-keys,31,10,Timeout,,,,,30,17,,,30,21
383,13540,Timeout,10,0,aug/aptconf,6,10,Timeout,,,,,50,17,,,40,21
383,16500,Timeout,20,0,aug/aptconf-l1,6,10,Timeout,,,,,50,18,,,40,22
443,130,Timeout,120,0,aug/cron,3,120,Timeout,,,,,60,18,,,120,22
,,,,,,,,,,,,,60,19,,,120,23
,,,,,,,,,,,,,130,19,,,140,23
,,,,,,,,,,,,,130,20,,,140,24
,,,,,,,,,,,,,320,20,,,2190,24
,,,,,,,,,,,,,320,21,,,2190,25
,,,,,,,,,,,,,4450,21,,,2710,25
,,,,,,,,,,,,,4450,22,,,2710,26
,,,,,,,,,,,,,13540,22,,,18000,26
,,,,,,,,,,,,,13540,23,,,,
,,,,,,,,,,,,,16500,23,,,,
,,,,,,,,,,,,,16500,25,,,,
,,,,,,,,,,,,,18000,25,,,,
