NaivePQueue,SpecSize,NoLensContext,ForceExpandTime,ComputationTime,ExamplesRequired,NaiveStrategy,Test,MaxExampleCount,NoShortCircuit
$<10$,85,$<10$,$<10$,$<10$,0.0,Timeout,cust/date-probs,3,$<10$
$<10$,112,$<10$,Timeout,$<10$,0.0,Timeout,cust/cap-prob,2,$<10$
2120,122,2130,2120,2120,0.0,Timeout,cust/2-cap-prob,2703,2130
$<10$,143,$<10$,190,$<10$,26.0,Timeout,ff/extr-fname,6,$<10$
$<10$,150,$<10$,40,$<10$,0.0,Timeout,ff/extr-quant,3,$<10$
$<10$,171,$<10$,30,$<10$,0.0,Timeout,ff/extr-num,4,$<10$
$<10$,201,$<10$,480,$<10$,0.0,Timeout,aug/activemq,3,$<10$
10,208,10,Timeout,10,Timeout,Timeout,cust/bib-prob,16,10
$<10$,233,$<10$,250,$<10$,0.0,Timeout,aug/aptcrngsec,3,$<10$
860,235,30,810,20,0.0,Timeout,aug/xml-l1,30,20
$<10$,239,$<10$,250,$<10$,0.0,Timeout,aug/alias,3,$<10$
80,244,20,80,20,Timeout,Timeout,cust/addr-probs,10,20
$<10$,246,$<10$,180,$<10$,0.0,Timeout,aug/apt-upd-mgr,4,$<10$
$<10$,252,$<10$,260,$<10$,0.0,Timeout,aug/approx,3,$<10$
20,269,1890,Timeout,20,0.0,Timeout,aug/aptprefs,17,20
$<10$,273,$<10$,360,$<10$,0.0,Timeout,aug/afs-cellalias,3,$<10$
20,285,20,560,20,0.0,Timeout,aug/aptsources,1,20
10,303,10,670,10,0.0,Timeout,aug/access,13,10
Timeout,311,Timeout,Timeout,110,0.0,Timeout,aug/xml,700,100
10,317,10,Timeout,10,0.0,Timeout,aug/anacron,3,10
10,318,20,690,$<10$,0.0,Timeout,aug/hosts,15,10
10,322,20,Timeout,10,0.0,Timeout,aug/auth-keys,31,10
10,383,100,Timeout,10,0.0,Timeout,aug/aptconf,6,10
10,383,300,Timeout,10,0.0,Timeout,aug/aptconf-l1,6,10
110,443,120,1190,120,0.0,Timeout,aug/cron,3,120
