Test,Result,ExsTaken
aug/access,NothingLearned,139
aug/activemq,977,1
aug/afs-cellalias,NothingLearned,139
aug/alias,NothingLearned,2
aug/anacron,NothingLearned,709
aug/approx,NothingLearned,92
aug/apt-upd-mgr,NothingLearned,139
aug/aptconf,NothingLearned,26
aug/aptconf-l1,NothingLearned,26
aug/aptcrngsec,NothingLearned,2
aug/aptprefs,NothingLearned,17
aug/aptsources,NothingLearned,4
aug/auth-keys,NothingLearned,11
aug/automaster,NothingLearned,709
aug/automounter,NothingLearned,11
aug/avahi,NothingLearned,1
aug/backuppchosts,NothingLearned,1
aug/bbhosts,-1,1
aug/bootconf,NothingLearned,7
aug/cachefilesd,NothingLearned,1064
aug/carbon,NothingLearned,2
aug/cgconfig,NothingLearned,11
aug/cgrules,NothingLearned,17
aug/channels,NothingLearned,2
aug/chrony,NothingLearned,4
aug/cron,NothingLearned,61
aug/hosts,NothingLearned,2
aug/xml-l1,NothingLearned,11
aug/xml,-1,1
cust/2-cap-prob,NothingLearned,1
cust/addr-probs,NothingLearned,1
cust/bib-prob,1921,17
cust/cap-prob,634,1
cust/date-probs,801,1
cust/workitem-probs,NothingLearned,26
ff/extr-fname-err,NothingLearned,2
ff/extr-fname,NothingLearned,7
ff/extr-num,NothingLearned,4
ff/extr-quant,NothingLearned,11
